epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
65,3097.99,0.36271,0.22099,0.85991,0.99963,1,0.995,0.96904,0.28473,0.17245,0.82274,0.00131493,0.00131493,0.00131493
66,3144.36,0.35965,0.21995,0.85976,0.9995,1,0.995,0.95929,0.28934,0.15842,0.82274,0.00130943,0.00130943,0.00130943
67,3190.18,0.35908,0.21848,0.85805,1,1,0.995,0.95904,0.2955,0.16056,0.82552,0.00130393,0.00130393,0.00130393
68,3236.08,0.35588,0.21415,0.85398,0.99962,1,0.995,0.96119,0.28433,0.15011,0.82041,0.00129843,0.00129843,0.00129843
69,3282.99,0.34928,0.21877,0.85259,0.99957,1,0.995,0.96451,0.29796,0.15499,0.8237,0.00129293,0.00129293,0.00129293
70,3330.28,0.34738,0.21188,0.8504,0.99981,1,0.995,0.96668,0.28085,0.164,0.82106,0.00128742,0.00128742,0.00128742
71,3381.75,0.35137,0.21223,0.85777,0.99962,1,0.995,0.96473,0.27868,0.15371,0.82021,0.00128192,0.00128192,0.00128192
72,3434.49,0.34709,0.2089,0.85776,0.99951,1,0.995,0.96318,0.29111,0.16735,0.82266,0.00127642,0.00127642,0.00127642
73,3486.67,0.34578,0.20833,0.85016,0.99961,1,0.995,0.9617,0.28532,0.1451,0.82135,0.00127092,0.00127092,0.00127092
74,3533.53,0.35657,0.21588,0.86166,0.99982,1,0.995,0.96584,0.28611,0.14342,0.82144,0.00126542,0.00126542,0.00126542
75,3579.18,0.35648,0.21206,0.85781,0.99962,1,0.995,0.96478,0.28904,0.15745,0.82284,0.00125992,0.00125992,0.00125992
