epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
62,2594.72,0.3278,0.19095,0.84728,0.99961,1,0.995,0.96927,0.28715,0.14084,0.81965,0.000660299,0.000660299,0.000660299
63,2637.36,0.32552,0.18769,0.85181,0.99982,1,0.995,0.96578,0.29309,0.14182,0.82212,0.000643795,0.000643795,0.000643795
64,2675.18,0.32607,0.18867,0.8471,0.9998,1,0.995,0.96645,0.29561,0.15114,0.82259,0.000627292,0.000627292,0.000627292
65,2716.03,0.32926,0.18854,0.84995,0.99982,1,0.995,0.97155,0.2854,0.13766,0.81934,0.000610789,0.000610789,0.000610789
66,2757.7,0.32552,0.19003,0.85042,0.9998,1,0.995,0.96503,0.28819,0.13515,0.82119,0.000594286,0.000594286,0.000594286
67,2803.12,0.33061,0.18968,0.85139,0.99978,1,0.995,0.97374,0.27624,0.12757,0.81828,0.000577782,0.000577782,0.000577782
68,2849.18,0.31935,0.18473,0.85057,0.99977,1,0.995,0.97041,0.27513,0.13957,0.81781,0.000561279,0.000561279,0.000561279
69,2889.84,0.32125,0.18452,0.84999,0.99979,1,0.995,0.97223,0.2806,0.13822,0.81944,0.000544776,0.000544776,0.000544776
70,2943.87,0.32384,0.18507,0.84972,0.99982,1,0.995,0.96692,0.29231,0.15101,0.82084,0.000528272,0.000528272,0.000528272
71,2989.54,0.32383,0.18338,0.84539,0.99981,1,0.995,0.96773,0.28671,0.14176,0.81956,0.000511769,0.000511769,0.000511769
72,3034.21,0.32204,0.18131,0.84631,0.99963,1,0.995,0.97211,0.27667,0.13995,0.81764,0.000495266,0.000495266,0.000495266
73,3075.65,0.31878,0.18004,0.84868,0.99962,1,0.995,0.97057,0.2745,0.14686,0.818,0.000478762,0.000478762,0.000478762
74,3117.86,0.31858,0.18053,0.84623,0.99962,1,0.995,0.96591,0.28161,0.13805,0.81956,0.000462259,0.000462259,0.000462259
75,3155.88,0.31294,0.17665,0.84933,0.99963,1,0.995,0.97392,0.27455,0.12755,0.81717,0.000445756,0.000445756,0.000445756
76,3197.31,0.31462,0.17886,0.84931,0.99963,1,0.995,0.97024,0.27917,0.13486,0.81854,0.000429253,0.000429253,0.000429253
77,3238.72,0.31994,0.18166,0.84671,0.99982,1,0.995,0.96986,0.27675,0.1308,0.81803,0.000412749,0.000412749,0.000412749
78,3282.92,0.3177,0.17959,0.84762,0.9996,1,0.995,0.97136,0.27495,0.12725,0.81775,0.000396246,0.000396246,0.000396246
79,3328.39,0.31427,0.17558,0.84927,0.99981,1,0.995,0.96921,0.27799,0.13147,0.81848,0.000379743,0.000379743,0.000379743
80,3366.85,0.31626,0.17575,0.84978,0.99982,1,0.995,0.97316,0.27492,0.12795,0.81743,0.000363239,0.000363239,0.000363239
